id,sport,level,cat1,cat2,cat3,cat4,cat5
"""11""","""Tennis""","""1""","""noch nie wirklich aufgeschlagen - absolute Anfaenger""","""bringt den Ball nur selten zurueck uebers Net, noch nie wirklich gespielt - absolute Anfaenger""","""beherrscht so gut wie keinen Volley, noch nie wirklich gespielt - absolute Anfaenger""","""trifft den Ball eher zufaellig, noch nie wirklich gespielt - absolute Anfaenger""","""trifft den Ball eher zufaellig, noch nie wirklich gespielt - absolute Anfaenger"""
"""12""","""Tennis""","""2""","""Aufschlag nur von unten - einfach ueber's Netz - Anfaenger""","""Rueckschlag von Baellen, die langsam sind und keinen Schnitt haben - Anfaenger""","""trifft ganz leichte Baelle als Volley auch ueber's Netz - Anfaenger""","""kann den Ball im Spiel halten, leichte Schlaege ueber's Netz mit der Vorhand - Anfaenger""","""kann den Ball im Spiel halten, leichte Schlaege ueber's Netz mit der Rueckhand - Anfaenger"""
"""13""","""Tennis""","""3""","""Aufschlag ueber Kopf flach ueber's Netz - gute Anfaenger""","""kontrollierter Return von geraden aber schon haerteren Aufschlaegen - gute Anfaenger""","""kontollierter Volley von hohen oder langsamen Baellen - gute Anfaenger""","""kontrollierte lange und einfache Vorhandschlaege - gute Anfaenger""","""kontrollierte lange und einfache Rueckhandschlaege - gute Anfaenger"""
"""14""","""Tennis""","""4""","""sicherer Aufschlag ueber Kopf - kontrollierte Richtung - nur gerade - mit niedriger Fehlerquote - Intermediate""","""Rueckschlag von verschiedenen aber recht langsamen Aufschlaegen mit Schnitt, Drall oder Unterschnitt - Intermediate","""beherrscht den Volley bereits mit Unterschnitt - Intermediate""","""setzt bewusst ueber- und Unterschnittschlaege mit der Vorhand ein - Intermediate""","""setzt bewusst ueber- und Unterschnittschlaege mit der Rueckhand ein - Intermediate"""
"""15""","""Tennis""","""5""","""gerader Aufschlag mit guter Streckung und leichtem Sprung, auf Ziel - gute Intermediate""","""kann gute Aufschlaege bereits blocken und dem Rueckschlag eine Richtung geben - guter Intermediate""","""erfolgreiche Quote von Vorhand Volleys - gute Intermediate""","""beherrscht gerade, mit Schnitt gespielte Schlaege, sowie Vorhand Lob - gute Intermediate""","""beherrscht gerade, mit Schnitt gespielte Schlaege, sowie Rueckhand Lob - gute Intermediate"""
"""16""","""Tennis""","""6""","""harter, gerader Aufschlag mit Sprung und sicherer zweiter Aufschlag - taktisches Aufschlagspiel - Fortgeschritten""","""blocked schnelle Aufschlaege und beherrscht auch den Rueckschlag Stop - Fortgeschritten""","""spielt erfolgreich sowohl hohe als auch flache Volleys, kann Vorhand Volley richtig einsetzen und damit viel Druck erzeugen  - Fortgeschritten""","""kann Vorhand Winner spielen, gutes und sicheres Grundlinienspiel - trainiert regelmaessig - Fortgeschritten""","""kann Rueckhand Winner spielen, gutes und sicheres Grundlinienspiel - trainiert regelmaessig - Fortgeschritten"""
"""17""","""Tennis""","""7""","""genauer und harter gerader oder top spin Aufschlag - hoher Quote von zweiten Aufschlaegen - wenige Doppelfehler - spielt, trainiert regelmaessig bis zu 3 mal die Woche - weit Fortgeschritten""","""kontollierte Rueckschlagtechnik mit Fokus und Richtungswechsel, trainiert regelmaessig - weit Fortgeschritten""","""sehr gute Bewegung und Stellungsspiel zum Ball, kann Vor- und Rueckhand Volley richtig einsetzen - weit Fortgeschritten""","""setzt Vorhand druckvoll und als Angriffsvorbereitung ein, mit Vorhand stop - spielt min. 2 Mal pro Woche - weit Fortgeschritten""","""setzt Rueckhand druckvoll und als Angriffsvorbereitung ein, mit Rueckhand Stop - spielt min. 2 Mal pro Woche - weit Fortgeschritten"""
"""18""","""Tennis""","""8""","""kann alle Arten von Aufschlaegen einsetzen - flat oder kick Aufschlag - guter und druckvoller zweiter Aufschlag - spielt im Verein oder Wettkaempfe - Halb Profi""","""beherrscht 'Chip and Charge' - gute Rueckschlagquote - Vereinsspieler - Halb Profi""","""gute und schnelle Beinarbeit, trainiert regelmaessig, kontrolliert Rueckhand mit Schnitt und Vorhand als Drive geschlagen - Halb Profi""","""kann alle Techniken zum richtigen Zeitpunkt einsetzen, spielt inside out und schnellen Angriffe mit sehr genauen harten Linienschlaegen und hoher Vorhand Rueckschlag Quote - spielt auch Turniere - Semi Pro""","""kann alle Techniken zum richtigen Zeitpunkt einsetzen, spielt inside out und schnellen Angriffe mit sehr genauen harten Linienschlaegen und hoher Rueckhand Rueckschlag Quote - spielt auch Turniere - Semi Pro"""
"""19""","""Tennis""","""9""","""setzt alle Techniken des Aufschlags gekonnt und variabel ein - hohe Quote im 1.Aufschlag (service winner) - Club Spieler - Profi""","""sehr genauer Rueckschlag von harten und schnellen Aufschlaegen als druckvoller Konter, guter 'Chip and Charge'-Spieler - Profi""","""super schnelle Reaktion bei Diagonal- oder Linienschlaegen, beherrscht Volley Stop als auch Drive Volley - Profi""","""immer praezise Schlaege und viele Richtungsaenderung, fast perfekte Bewegung, Beinarbeit und Stellungsspiel - druckvolle Vorhand zum Einsatz von langen und kurzen Schlaegen, bzw. Lob - Pro""","""immer praezise Schlaege und viele Richtungsaenderung, fast perfekte Bewegung, Beinarbeit und Stellungsspiel - druckvolle Rueckhand zum Einsatz von langen und kurzen Schlaegen, bzw. Lob - Pro"""
"""20""","""Tennis""","""10""","""absolut sicher und erfolgreich durch exzellentes, fast fehlerfreies und druckvolles Aufschlagspiel - Tourspieler - Meister""","""beherrscht alle Rueckschlagtechniken als Vor- und Rueckhand perfekt und kontrolliert so auch sehr harte und druckvolle Aufschlaege - Meister""","""beherrscht alle Techniken des Volley als Vor - und Rueckhand, Volley Spezialist -  Meister""","""fast perfekt in allen Vorhandschlaegen, kann jede Technik einsetzen, um Taktik erfolgreich umzusetzen und auf den Gegner einzustellen - Tour Spieler - hohe Quote von erfolgreichen Grundlinienduellen - Meister""","""fast perfekt in allen Rueckhandschlaegen, kann jede Technik einsetzen, um Taktik erfolgreich umzusetzen und auf den Gegner einzustellen - Tour Spieler - hohe Quote von erfolgreichen Grundlinienduellen - Meister"""
"""21""","""Volleyball""","""1""","""noch nie wirklich gespielt - absolute Anfaenger""","""""","""""","""""",""""""
"""22""","""Volleyball""","""2""","""die Spieler der Manschaft koennen den Ball in der Luft halten und ab und zu sogar ueber's Netz bringen - absolute Anfaenger""","""""","""""","""""",""""""
"""23""","""Volleyball""","""3""","""die Mannschaft kann sich den Ball gegenseitig zuspielen, sowohl im oberen, als auch unteren Zuspiel - sie sind in der Lage, ein Spiel zu organisiert - Anfaenger""","""""","""""","""""",""""""
"""24""","""Volleyball""","""4""","""einige Spieler der Mannschaft koennen den Ball ueber's Netz schlagen, aber jeder spielt auf allen Positionen - Mannschaft spielt mit Rotation, aber ohne Block und meist mit einem Spieler in der Mitte des Feldes - gute Anfaenger""","""""","""""","""""",""""""
"""25""","""Volleyball""","""5""","""die Spieler sind in der lage alle Techniken anzuwenden, haben ein organisiertes Spiel und einen festen Zuspieler (meist auf der vorderen Mittelposition 3 - Intermediate""","""""","""""","""""",""""""
"""26""","""Volleyball""","""6""","""die Mannschaft trainiert bzw. spielt regelmaessig (vielleicht in einer Freizeitliga) und hat 1 oder 2 bessere Spieler im team - gute Intermediate""","""""","""""","""""",""""""
"""27""","""Volleyball""","""7""","""alle Spieler haben gute individuelle Faehigkeiten,die Mannschaft spielt schon laenger zusammen und kennt sich gut bzw. ist gut aufeinander abgestimmt, team spielt mit fester Zuspieler von allen Positionen - Fortgeschritten""","""""","""""","""""",""""""
"""28""","""Volleyball""","""8""","""Mannschaft spielt 3.Liga oder besser, spezialisiert auf allen Positionen, gutes Mannschafts- und Kombinationsspiel, alle Spieler koennen springen und sowohl Sprung und Flattersprung Aufschlaege, spielt mit Block - Abwehr System und festem Libero, geringe Fehlerquote - halb Profi""","""""","""""","""""",""""""
"""29""","""Volleyball""","""9""","""Zuspieler organisiert und lenkt das Spiel, Mannschaft ist zusammengestellt und auf allen Positionen spezialisiert, sehr starkes Kombinationsspiel und blindes Verstaendnis der Spieler, Team spielt 2.Liga oder besser - hoher Erfolgsquote im Aufschlag - geringe allgemeine Fehlerquote - mindestens 3 mal Training pro Woche - Profi""","""""","""""","""""",""""""
"""30""","""Volleyball""","""10""","""Mannschaft koennte an jedem Wettkampf erfolgreich teilnehmen, sehr gute individuelle Staerke und ausserordentlich gutes Zusammenspiel, mindestens 5 mal Training pro Woche - Meister""","""""","""""","""""",""""""
"""31""","""Laufen""","""1""","""kaum jemals gelaufen - absoluter Anfaenger""","""""","""""","""""",""""""
"""32""","""Laufen""","""2""","""geht manchmaml 10 - 15 Minuten laufen - Anfaenger""","""""","""""","""""",""""""
"""33""","""Laufen""","""3""","""geht oft laufen - kontrolliert Zeit und Leistung 60% fuer mindestens 30 Minuten - min. 3km/2mi - guter Anfaenger""","""""","""""","""""",""""""
"""34""","""Laufen""","""4""","""regelmaessiger Laeufer - min. 1x pro Woche - ausgeruestet und prueft Leistung - min. 30 Minuten - min. 5km/3mi - Intermediate""","""""","""""","""""",""""""
"""35""","""Laufen""","""5""","""regelmaessigerr Laufer - 1x bis 2x pro Woche - ausgeruestet und prueft Leistung - min. 7km/4.5mi - guter Intermediate""","""""","""""","""""",""""""
"""36""","""Laufen""","""6""","""regelmaessiger Laeufer - min. 2x pro Woche - ausgeruestet und prueft Leistung - 45-90 Miuten Laeufe - min. 10km/6mi - Fortgeschritten""","""""","""""","""""",""""""
"""37""","""Laufen""","""7""","""regelmaessiger Laeufer - min. 2x pro Woche fuer min. 45 Minuten oder mehr - Zeitmessung, Hochleistungsausruestung und Gesundheitschecks  - nimmt manchmal an Wettkaempfen teil - min. 12km/7.5mi pro Stunde - weit Fortgeschritten""","""""","""""","""""",""""""
"""38""","""Laufen""","""8""","""guter und schneller regelmaessiger Laeufer - min 3x pro Woche fuerungefaehr 1h - Zeitmessung, Hochleistungsausruestung und Gesundheitschecks  - nimmt manchmal an Wettkaempfen teil - min. 15km/9mi pro Stunde - halb Profi""","""""","""""","""""",""""""
"""39""","""Laufen""","""9""","""laeuft fast jeden Tag - min. 1h - Zeitmessung, Hochleistungsausruestung und Gesundheitschecks  - nimmt regelmaessig Wettkaempfen und halb Marathons teil - min. 17km/10.5 mi pro Stunde - Profi""","""""","""""","""""",""""""
"""40""","""Laufen""","""10""","""nimmt regelmaessig an Wettkaempfen und Marathons teil - min 20km/12.5mi pro Stunde - Meister""","""""","""""","""""",""""""
