id,sport,level,cat1,cat2,cat3,cat4,cat5
"""11""","""2""","""1""","""Absoluter Anfaenger: Noch nie wirklich gespielt ""","""Absoluter Anfaenger: Noch nie wirklich gespielt ""","""Absoluter Anfaenger: Noch nie wirklich gespielt ""","""Absoluter Anfaenger: Noch nie wirklich gespielt ""","""Absoluter Anfaenger: Noch nie wirklich gespielt """
"""12""","""2""","""2""","""Anfaenger: Aufschlag nur von unten - einfach ueber's Netz""","""Anfaenger: bringt den Ball nur selten zurueckk uebers Net""","""Anfaenger: trifft ganz leichte B_lle als Volley auch ueber's Netz""","""Anfaenger: kann den Ball im Spiel halten, leichte Schl_ge ueber's Netz mit der Vorhand ""","""Anfaenger: kann den Ball im Spiel halten, leichte Schl_ge ueber's Netz mit der Rueckhand"""
"""13""","""2""","""3""","""Besserer Anfaenger: Aufschlag ueber Kopf flach ueber's Netz""","""Besserer Anfaenger: Rueckschlag von B_llen, die langsam sind und keinen Schnitt haben""","""Besserer Anfaenger: kontollierter Volley von hohen oder langsamen B_llen""","""Besserer Anfaenger: kontrollierte lange und einfache Vorhandschl_ge""","""Besserer Anfaenger: kontrollierte lange und einfache Rueckhandschl_ge"""
"""14""","""2""","""4""","""Durchschnitt: sicherer Aufschlag ueber Kopf - kontrollierte Richtung - nur gerade - mit niedriger Fehlerquote - flat serve""","""Durchschnitt: kontrollierter Return von geraden aber schon h_rteren Aufschl_gen""","""Durchschnitt: beherrscht den Volley bereits mit Unterschnitt""","""Durchschnitt: beherrscht gerade, mit Schnitt gespielte Schl_ge""","""Durchschnitt: setzt bewu_t _ber- und Unterschnittschl_ge mit der Rueckhand ein"""
"""15""","""2""","""5""","""Guter Durchschnitt: gerader Aufschlag mit guter Streckung und leichtem Sprung, auf Ziel  - flat serve mit seltenen Doppelfehlern""","""Guter Durchschnitt: Rueckschlag von verschiedenen aber recht langsamen Aufschl_gen mit Schnitt, Drall oder Unterschnitt  ""","""Guter Durchschnitt: erfolgreiche Quote von Vorhand Volleys""","""Guter Durchschnitt: beherrscht Schl_ge mit Schnitt, sowie Vorhand Lobs,                   setzt bewu_t _ber- und Unterschnittschl_ge mit der Vorhand ein""","""Guter Durchschnitt: beherrscht auch gerade, mit Schnitt gespielte Schl_ge, sowie Rueckhand Lob"""
"""16""","""2""","""6""","""Fortgeschritten: harter, gerader Aufschlag mit Sprung und sicherer zweiter Aufschlag - taktisches Aufschlagspiel ""","""Fortgeschritten: kann gute Aufschl_ge bereits blocken und dem Rueckschlag eine Richtung geben""","""Fortgeschritten: spielt erfolgreich sowohl hohe als auch flache Volleys, kann Vorhand Volley richtig einsetzen und damit viel Druck erzeugen""","""Fortgeschritten: gutes und sicheres Grundlinienspiel, kann Vorhand Winner spielen - trainiert regelm__ig""","""Fortgeschritten: gutes und sicheres Grundlinienspiel, kann Rueckhand Winner spielen, - (trainiert regelm__ig)"""
"""17""","""2""","""7""","""Sehr Fortgeschritten : genauer und harter gerader oder top spin Aufschlag - hoher Quote von zweiten Aufschl_gen - wenige Doppelfehler - spielt, trainiert regelm__ig bis zu 3 mal die Woche""","""Sehr Fortgeschritten: kann harte Aufschl_ge blocken und beherrscht auch den Rueckschlag Stop ""","""Sehr Fortgeschritten: sehr gute Bewegung und Stellungsspiel zum Ball, kann Vor- und Rueckhand Volley richtig einsetzen""","""Sehr Fortgeschritten: setzt Vorhand druckvoll und als Angriffsvorbereitung ein, (mit Vorhand stop) - spielt min. 2 Mal pro Woche""","""Sehr Fortgeschritten: setzt Rueckhand druckvoll und als Angriffsvorbereitung ein, mit Rueckhand Stop - spielt min. 2 Mal pro Woche"""
"""18""","""2""","""8""","""Halb Professionell : kann alle Arten von Aufschl_gen einsetzen - flat oder kick Aufschlag - guter und druckvoller zweiter Aufschlag - (spielt im Verein oder sogar leichte Wettk_mpfe)""","""Halb Professionell: kontollierte Rueckschlagtechnik mit Fokus und Richtungswechsel, (trainiert regelm__ig), plus: able to chip and charge""","""Halb Professionell: gute und schnelle Beinarbeit, trainiert regelm__ig, kontrolliert Rueckhand mit Schnitt und Vorhand als Drive geschlagen (kann hohen Druck auf Gegner ausueben)""","""Halb Professionell: pr_zise Schl_ge und viele Richtungs_nderung, sehr gute Bewegung, Beinarbeit und Stellungsspiel - (druckvolles Spiel mit der Vorhand)""","""Halb Professionell: kann alle Techniken zum richtigen Zeitpunkt einsetzen, spielt inside out und schnellen Angriffe mit sehr genauen harten Linienschl_gen und hoher Rueckhand Rueckschlag Quote - (Vereinsspieler)"""
"""19""","""2""","""9""","""Pro: setzt alle Techniken des Aufschlags gekonnt und variabel ein - hohe Quote im 1.Aufschlag (service winner) - Club Spieler""","""Pro: beherrscht 'Chip and Charge' - gute Rueckschlagquote - Vereinsspieler (viele return winners)""","""Pro: super schnelle Reaktion bei Diagonal- oder Linienschl_gen, beherrscht Volley Stop als auch Drive Volley, hohe Erfolgsquote durch Volley""","""Pro: kann alle Techniken zum richtigen Zeitpunkt einsetzen, spielt inside out und schnellen Angriffe mit sehr genauen harten Linienschl_gen und hoher Vorhand Rueckschlag Quote - (Vereinsspieler)""","""Pro: immer pr_zise Schl_ge und viele Richtungs_nderung, sehr gute Bewegung, Beinarbeit und Stellungsspiel - druckvolle Rueckhand zum Einsatz von langen und kurzen Schl_gen, bzw. Lob (Vereinsspieler)"""
"""20""","""2""","""10""","""Meister: absolut sicher und erfolgreich durch exzellentes, fast fehlerfreies und druckvolles Aufschlagspiel - Tourspieler""","""Meister: beherrscht alle Rueckschlagtechniken als Vor- und Rueckhand perfekt und kontrolliert so auch sehr harte Aufschl_ge - (als druckvoller Konter) Tour Spieler""","""Meister: beherrscht alle Techniken des Volley als Vor - und Rueckhand, Volley Spezialist, Turnierspieler""","""Meister: fast perfekt in allen Vorhandschl_gen, kann jede Technik einsetzen, um Taktik erfolgreich umzusetzen und auf den Gegner einzustellen (hohe Quote von erfolgreichen Grundlinienduellen) - Tour Spieler - ""","""Meister: fast perfekt in allen Rueckhandschl_gen, kann jede Technik einsetzen, um Taktik erfolgreich umzusetzen und auf den Gegner einzustellen - Tour Spieler - hohe Quote von erfolgreichen Grundlinienduellen (kann auch Pro-Turniere spielen)"""
"""21""","""3""","""1""","""Absoluter Anfaenger: Noch nie wirklich gespielt ""","""""","""""","""""",""""""
"""22""","""3""","""2""","""Anfaenger: die Spieler der Manschaft k_nnen den Ball in der Luft halten und ab und zu sogar ueber's Netz bringen""","""""","""""","""""",""""""
"""23""","""3""","""3""","""Besserer Anfaenger: die Mannschaft kann sich den Ball gegenseitig zuspielen, sowohl im oberen, als auch unteren Zuspiel - sie sind in der Lage, ein Spiel zu organisieren""","""""","""""","""""",""""""
"""24""","""3""","""4""","""Durchschnitt: einige Spieler der Mannschaft k_nnen den Ball ueber's Netz schlagen, aber jeder spielt auf allen Positionen - Mannschaft spielt mit Rotation, aber ohne Block und meist mit einem Spieler in der Mitte des Feldes""","""""","""""","""""",""""""
"""25""","""3""","""5""","""Guter Durchschnitt: die Spieler sind in der lage alle Techniken anzuwenden, haben ein organisiertes Spiel und einen festen Zuspieler (meist auf der vorderen Mittelposition 3 - Mannschaft trainiert ab und zu  zusammen)""","""""","""""","""""",""""""
"""26""","""3""","""6""","""Fortgeschritten: die Mannschaft trainiert bzw. spielt regelm__ig (vielleicht in einer Freizeitliga) und hat 1 oder 2 Besserer Spieler im Team""","""""","""""","""""",""""""
"""27""","""3""","""7""","""Sehr Fortgeschritten : alle Spieler haben gute individuelle F_higkeiten,die Mannschaft spielt schon l_nger zusammen und kennt sich gut bzw. ist gut aufeinander abgestimmt, Team spielt mit fester Zuspielposition, Aufteilung (L_ufer-System) und eigener Taktik""","""""","""""","""""",""""""
"""28""","""3""","""8""","""Halb Professionell : Mannschaft spielt 3. oder 4.Liga, spezialisiert auf allen Positionen, gutes Mannschafts- und Kombinationsspiel, alle Spieler k_nnen springen und sowohl Sprung und Flattersprung Aufschl_ge, spielt mit Block - Abwehr System und festem Libero, geringe Fehlerquote""","""""","""""","""""",""""""
"""29""","""3""","""9""","""Pro: Zuspieler organisiert und lenkt das Spiel, Mannschaft ist zusammengestellt und auf allen Positionen spezialisiert, sehr gute Technik, starkes Kombinationsspiel und blindes Verst_ndnis der Spieler, Team kann 2.Liga spielen - hohe Erfolgsquote im Aufschlag - geringe allgemeine Fehlerquote - (mindestens 3 mal Training pro Woche)""","""""","""""","""""",""""""
"""30""","""3""","""10""","""Meister: sehr gute individuelle St_rke und au_erordentlich gutes Zusammenspiel, mindestens 5 mal Training pro Woche, exzellente Technik und Taktik (Mannschaft k_nnte 1.Liga spielen & an jedem Wettkampf teilnehmen)""","""""","""""","""""",""""""
"""31""","""4""","""1""","""Absoluter Anfaenger: Noch nie wirklich Laufen gewesen ""","""""","""""","""""",""""""
"""32""","""4""","""2""","""Anfaenger: geht manchmaml 10 - 15 Minuten laufen""","""""","""""","""""",""""""
"""33""","""4""","""3""","""Besserer Anfaenger: geht oft laufen - kontrolliert Zeit und Leistung 60% fuer mindestens 30 Minuten - min. 3km/2mi""","""""","""""","""""",""""""
"""34""","""4""","""4""","""Durchschnitt: regelmaessger L_ufer - min. 1x pro Woche - ausgeruestet und prueft Leistung - min. 30 Minuten - min. 5km/3mi""","""""","""""","""""",""""""
"""35""","""4""","""5""","""Guter Durchschnitt: regelmaessiger Laufer - 1x bis 2x pro Woche - ausgeruestet und prueft Leistung - (Training min. 7km/4.5mi)""","""""","""""","""""",""""""
"""36""","""4""","""6""","""Fortgeschritten: regelmaessiger L_ufer - min. 2x pro Woche - gut ausgeruestet und prueft Leistung - 45-90 Miuten L_ufe - min. 10km/6mi""","""""","""""","""""",""""""
"""37""","""4""","""7""","""Sehr Fortgeschritten : regelmaessiger L_ufer - min. 2x pro Woche fuer min. 45 Minuten oder mehr - Zeitmessung, sehr gute ausruestung und Gesundheitschecks  - nimmt manchmal an Wettk_mpfen teil - min. 12km/7.5mi pro Stunde""","""""","""""","""""",""""""
"""38""","""4""","""8""","""Halb Professionell : guter und schneller, halbprofessioneller L_ufer - trainiert min 3x pro Woche fuer ungef_hr 1h - Zeitmessung, Hochleistungsausruestung und Gesundheitschecks  - nimmt manchmal an Wettk_mpfen teil - min. 15km/9mi pro Stunde""","""""","""""","""""",""""""
"""39""","""4""","""9""","""Pro: l_uft fast jeden Tag - min. 1h - Zeitmessung, Hochleistungsausruestung und Gesundheitschecks  - nimmt regelm__ig an Wettk_mpfen und halb Marathons teil - min. 17km/10.5 mi pro Stunde""","""""","""""","""""",""""""
"""40""","""4""","""10""","""Meister: Hochleistungsl_ufer - trainiert intensiv (mit Trainer), nimmt regelm__ig an Wettk_mpfen und Marathons teil - min 20km/12.5mi pro Stunde""","""""","""""","""""",""""""
"""41""","""5""","""1""","""Absoluter Anfaenger: Noch nie wirklich gespielt ""","""Absoluter Anfaenger: Noch nie wirklich gespielt ""","""Absoluter Anfaenger: Noch nie wirklich gespielt ""","""""",""""""
"""42""","""5""","""2""","""Anfaenger: bringt den Aufschlag meistens uebers Netz""","""Anfaenger: bringt den Ball vereinzelt bei einfachen Aufschl_gen zurueckk""","""Anfaenger: kann den Ball nur mit wenig Kontrolle und Geschwindigkeit teilweise zurueckkspielen (viel Konzentration um den Ball mit der Schl_gerfl_che zu treffen), h_lt den Ball in der Luft""","""""",""""""
"""43""","""5""","""3""","""Besserer Anfaenger: Aufschl_ge sind noch recht hoch und unplatziert ""","""Besserer Anfaenger: kann kontinuierlich leichte und hohe Schuesse abwehren und zurueckkspielen""","""Besserer Anfaenger: kann Schl_ge von unten kontrolliert und ueber Kopf teilweise waagerecht und mit geringer Geschwindigkeit schlagen""","""""",""""""
"""44""","""5""","""4""","""Durchschnitt: bringt den Aufschlag gelegentlich flach ueber's Netz ""","""Durchschnitt: kann teilweise Angriffsschl_ge und kurze B_lle kontern und platziert zurueckkspielen ""","""Durchschnitt: kann halbscharfe Angriffsschl_ge und gelegentlich kurze B_lle spielen ""","""""",""""""
"""45""","""5""","""5""","""Guter Durchschnitt: kann den Aufschlag bereits platzieren und bringt den Ball h_ufig flach oder kurz ueber's Netz""","""Guter Durchschnitt: beherrscht Konterschl_ge und kurze Drop-Shots (Abtropfen hinters Netz), kann bereits variable Rueckschl_ge und weite Grundlinienschl_ge spielen ""","""Guter Durchschnitt: beherrscht bereits harte Angriffsschl_ge von oben nach unten und gefuehlvolle kurze Schl_ge (Drop Shots) hinters Netz""","""""",""""""
"""46""","""5""","""6""","""Fortgeschritten: schlaegt kontinuierlich flach und auch kurz ueber's Netz auf, bringt ab und zu flick Aufschlag an ""","""Fortgeschritten: beherrscht Konterschl_ge aus der Abwehr sowohl mit der Vorhand - als auch mit der Rueckhand, variiert die Techniken der Rueckschl_ge (weite Grundlinienschl_ge & Drop shots) gut und h_ufig ""","""Fortgeschritten: kann zwischen harten Angriffsschl_gen und weiten Gundlinienschl_ge, sowie kurzen Schl_gen strategisch variieren, beherrscht Vor- und Rueckhand Angriffe (meist aber mit St_rkerer Vorhand)""","""""",""""""
"""47""","""5""","""7""","""Sehr Fortgeschritten : kann sowohl hohe, platzierte lange, als auch flache kurze Aufschl_ge - streut flick Aufschlag _fter ein ""","""Sehr Fortgeschritten : beherrscht harte Konterschl_ge regelm__ig und manchmal auch kurze Blocks hinters Netz, beherrscht Vor- und Rueckhand Abwehr und setzt diese strategisch ein""","""Sehr Fortgeschritten : beherrscht verschiedene Angriffsschl_ge, wie smash, drop, drive, push, lift (Schu_, Abtropfer, weiter Schlag, Schieber, Heber) mit der Vorhand, einfache Schl_ge mit der Rueckhand""","""""",""""""
"""48""","""5""","""8""","""Halb Professionell : schlaegt kontinuierlich und variable hoch, lang, kurz und flach auf, beherrscht alle Aufschlagtechniken, macht Druck und kann auch gelegentlich mit dem Aufschlag punkten - (trainiert regelm__ig)""","""Halb Professionell : beherrscht harte und gefuehlvolle Konterschl_ge aus der Abwehr, um Gegner kontinuierlich unter Druck zu setzen, gleich stark mit Vor - und Rueckhand Abwehr, (trainiert regelm__ig, mind. 2 mal pro Woche)""","""Halb Professionell : kann verschiedene Angriffstechniken ((Schu_, Abtropfer, weiter Schlag, Schieber, Heber) taktisch einsetzen, gleichstark mit Vor - und Rueckhand (trainiert regelm__ig - mind. 2 mal pro Woche) ""","""""",""""""
"""49""","""5""","""9""","""Pro: kann alle Aufschlagtechniken gezielt einsetzen, um Druck auf den Gegner zu erh_hen und schnelle Punkte zu machen (Wettkampfspieler) ""","""Pro: kann alle Abwehrtechniken gezielt und erfolgreich einsetzen, sehr variables Spiel als Konter aus der Abwehr, sehr pr_zise, macht auch Punkte aus der Abwehr heraus (Wettkampfspieler)""","""Pro: beherrscht alle Angriffsschl_ge mit hoher Praezision (Vor- und Rueckhand), setzt diese strategisch und variabel ein und beherrscht Angriffsschl_ge im Sprung (Wettkampfspieler) ""","""""",""""""
"""50""","""5""","""10""","""Meister: beherrscht alle Techniken fast perfekt, kann Taktik auf den Gegner einstellen und spiel mit hoher Erfolgsquote im Aufschlag (Vereinsspieler)""","""Meister: fast fehlerfrei und _u_erst variable in der Anwendung der Abwehrschl_ge, kontert mit hoher Genauigkeit und Erfolgsquote jegliche Art von Angriffen (Vereinsspieler)  ""","""Meister: fast perfekt in allen Angriffstechniken (Vor- und Rueckhand, Sprung), Schmettert mit extrem hoher Geschwindigkeit und Praezision, setzt den Gegner permanent unter hohen Druck und spielt mit ueberdurchschnittlich hoher Quote an Angriffspunkten (Profi) ""","""""",""""""
