id,sport,level,cat1,cat2,cat3,cat4,cat5
"""22""","""Volleyball""","""2""","""players of the team are able to keep the ball up in the air and eventually bring the ball over the net - beginner""","""""","""""","""""",""""""
"""23""","""Volleyball""","""3""","""players can pass the ball to each other using setting and digging elements and are able to organize a game play - good beginner""","""""","""""","""""",""""""
"""24""","""Volleyball""","""4""","""some players are able to hit the ball over the net but everyone is playing on all positions - team plays with rotation but mainly without block and the main player in the center of the court - intermediate""","""""","""""","""""",""""""
"""25""","""Volleyball""","""5""","""the players are able to perform all techniques and have an organized play with a specialized setter (mostly in the middle of the net) - good intermediate""","""""","""""","""""",""""""
"""26""","""Volleyball""","""6""","""Team is playing regularly (maybe in a low or fun league) and has one or two better players, or all players have some good skills (elements) and are specialized - they are switching to their position after the service - advanced""","""""","""""","""""",""""""
"""27""","""Volleyball""","""7""","""all players have good individual skills in all elements and the team is playing together well or for longer time - good organization of the game - players are specialized and play with offense and defense tactics - setter is playing from all positions of the rotation - great advanced""","""""","""""","""""",""""""
"""28""","""Volleyball""","""8""","""team is playing in  division III or better - specialist on all positions - very good team play and combination game - players are able to jump serve - jump float, playing a block - defense system and with libero - low mistakes quota - semi pro""","""""","""""","""""",""""""
"""29""","""Volleyball""","""9""","""setter is organizing the game - team is drafted and specialized on all positions - very powerful game play and blind understanding of all players- team plays 2nd division level or better - high service winner quota - team is practicing 3 times a week and more - pro""","""""","""""","""""",""""""
"""30""","""Volleyball""","""10""","""mastering the game - team could perform in all kinds of championship competitions - very good individuals and great team play - min. 5 times practice per week  - pro champ""","""""","""""","""""",""""""
"""31""","""Running""","""1""","""hardly ever ran regularly before - absolute beginner""","""""","""""","""""",""""""
"""32""","""Running""","""2""","""sometimes 15 - 30 Min. run - beginner""","""""","""""","""""",""""""
"""33""","""Running""","""3""","""goes often for a run - controls time and performance 60 % for minimum 30 min. - min. 3km/2mi - good beginner""","""""","""""","""""",""""""
"""34""","""Running""","""4""","""regular runner - minimum once a week -  equipped and checks performance - up to 30min. - min. 5km/3mi - intermediate""","""""","""""","""""",""""""
"""35""","""Running""","""5""","""regular runner - minimum twice a week for 45min.min. - 7km/4.5mi - good intermediate""","""""","""""","""""",""""""
"""36""","""Running""","""6""","""regular runner - minimum twice a week -  equipped and checks performance - between 45 - 90min. runs - min. 10km/6m - advanced""","""""","""""","""""",""""""
"""37""","""Running""","""7""","""regular runner - minimum twice a week for 45min. and more - time settings, high performance with gear and health checks - sometimes participates in running events - min. 12km/7.5mi per hour - great advanced""","""""","""""","""""",""""""
"""38""","""Running""","""8""","""good and fast regular runner - minimum three times a week for about than 1h - time settings, high performance with gear and health checks - sometimes participates in running events - min. 15km/9mi per hour - semi pro""","""""","""""","""""",""""""
"""39""","""Running""","""9""","""runs almost every day - min. 1h - takes time and health check ups - gear and runs regular competitions and half marathons -  min. 17km/10.5mi per hour - pro""","""""","""""","""""",""""""
"""40""","""Running""","""10""","""competes regularly in competitions and Marathons - min. 20km/12.5mi per hour - pro champ""","""""","""""","""""",""""""
"""41""","""Badminton""","""1""","""hardly ever played before - absolute beginner""","""hardly ever played before - absolute beginner""","""hardly ever played before - absolute beginner""","""""",""""""
"""42""","""Badminton""","""2""","""easy over the net - beginner""","""some returns of easy serves  - beginner""","""just playing ball over the net - no offensive attacks- beginner""","""""",""""""
"""43""","""Badminton""","""3""","""only high serves - without specific target - good beginner""","""defence of easy serves and shots  - good beginner""","""smashes with low speed  - good beginner""","""""",""""""
"""44""","""Badminton""","""4""","""high serves - close to the baseline and sometimes low serves - intermediate""","""sometimes counter smashes or drop shots - intermediate""","""smashes with low speed - drop shots   - intermediate""","""""",""""""
"""45""","""Badminton""","""5""","""high serves with direction - close to the baseline or low and short serves towards the net area -  good intermediate""","""sometimes counter smashes or drop shots - variable returns - high to baseline or drop shots - good intermediate""","""smashes with higher speed - drop shots - good intermediate""","""""",""""""
"""46""","""Badminton""","""6""","""consistently high and short serves, sometimes flick serves  - advanced""","""often counter smashes or drop shots - variable placed returns - high to baseline or drop shots - both forehand and backhand  -  advanced""","""smashes with higher speed - differntiate between fast and slow drop shots - both forehand and backhand - advanced""","""""",""""""
"""47""","""Badminton""","""7""","""able to perform high, short and flick serves consistently - great advanced""","""sometimes counter powerful smashes or drop shots - variable use of different return techniques - both forehand and backhand - great advanced""","""able to play different shots: smash, drop, drive, push, lift - both forehand and backhand - great advanced""","""""",""""""
"""48""","""Badminton""","""8""","""few service winners - consistently good high, short and flick serves - semi pro""","""often counter powerful smashes or drop shots - variable use of different return techniques - both forehand and backhand - sometimes put opponent under pressure with returns - semi pro""","""able to play different shots: smash, drop, drive, push, lift - both forehand and backhand - variable play - using tactics - semi pro""","""""",""""""
"""49""","""Badminton""","""9""","""some service winners - mostly putting opponent under pressure through high, short or flick serves - pro""","""successful defence of different attacks - very variable use of different return techniques - both forehand and backhand - often put opponent under pressure with returns - winning points from defence - pro""","""able to play different shots: smash, drop, drive, push, lift - both forehand and backhand -  variable play - using tactics - additionally  jump-smash to produce a fast, powerful and well placed smash - pro""","""""",""""""
"""50""","""Badminton""","""10""","""many service winners - consistently putting opponent under pressure through high, short or flick serves - pro champ""","""very successful defence of different attacks - very variable use of different return techniques - both forehand and backhand -always put opponent under pressure with returns - many winning points from defence - pro champ""","""able to play different shots: smash, drop, drive, push, lift - both forehand and backhand -  variable play - using tactics - additionally  jump-smash to produce a fast, powerful and well placed smash - in different situations with high success rate - pro champ""","""""",""""""
